19,2,3,1,19,3
19,1,3,2,19,4
19,4,0,0,19,1
19,3,0,0,19,2
3,4,4,1,3,1
3,3,4,2,3,2
3,2,19,1,3,3
3,1,19,2,3,4
4,4,0,0,4,1
4,3,0,0,4,2
4,2,3,3,4,3
4,1,3,4,4,4
18,2,17,3,18,3
18,1,17,4,18,4
18,4,0,0,18,1
18,3,0,0,18,2
17,2,1,1,17,3
17,1,1,2,17,4
17,4,18,1,17,1
17,3,18,2,17,2
1,4,2,1,1,1
1,3,2,2,1,2
1,2,17,1,1,3
1,1,17,2,1,4
2,4,0,0,2,1
2,3,0,0,2,2
2,2,1,3,2,3
2,1,1,4,2,4
12,2,16,3,12,3
12,1,16,4,12,4
12,4,0,0,12,1
12,3,0,0,12,2
16,2,5,1,16,3
16,1,5,2,16,4
16,4,12,1,16,1
16,3,12,2,16,2
5,4,6,1,5,1
5,3,6,2,5,2
5,2,16,1,5,3
5,1,16,2,5,4
6,4,7,1,6,1
6,3,7,2,6,2
6,2,5,3,6,3
6,1,5,4,6,4
7,4,0,0,7,1
7,3,0,0,7,2
7,2,6,3,7,3
7,1,6,4,7,4
14,2,13,3,14,3
14,1,13,4,14,4
14,4,0,0,14,1
14,3,0,0,14,2
13,2,8,1,13,3
13,1,8,2,13,4
13,4,14,1,13,1
13,3,14,2,13,2
8,4,9,1,8,1
8,3,9,2,8,2
8,2,13,1,8,3
8,1,13,2,8,4
9,4,0,0,9,1
9,3,0,0,9,2
9,2,8,3,9,3
9,1,8,4,9,4
15,2,10,1,15,3
15,1,10,2,15,4
15,4,0,0,15,1
15,3,0,0,15,2
10,4,11,1,10,1
10,3,11,2,10,2
10,2,15,1,10,3
10,1,15,2,10,4
11,4,0,0,11,1
11,3,0,0,11,2
11,2,10,3,11,3
11,1,10,4,11,4
